,source,target,value
0,France,Russia,6
1,Germany,Russia,21
2,Germany,Italy,26
3,Austria,Germany,11
4,Germany,Spain,1
5,France,Spain,1
6,France,Poland,11
7,France,Germany,19
8,Germany,Poland,18
9,Estonia,Germany,5
10,Estonia,Latvia,6
11,Latvia,Lithuania,6
12,Finland,Lithuania,6
13,Finland,Germany,5
14,Netherlands,Poland,5
15,Luxembourg,Netherlands,6
16,Belgium,Luxembourg,4
17,Belgium,Denmark,5
18,Denmark,Norway,12
19,Denmark,Sweden,6
20,Germany,Sweden,6
21,France,Italy,4
22,Albania,Greece,12
23,Greece,Ukraine,3
24,Belarus,Ukraine,6
25,Belarus,Libya,3
26,Egypt,Libya,16
27,Egypt,Iraq,5
28,Germany,Japan,11
29,Japan,Russia,6
30,Germany,Morocco,1
31,Algeria,Morocco,6
32,Algeria,Italy,5
